length,width,thickness,price,article_id
200,80,5,600,1
190,70,6,300,1
70,60,4,100,2
65,55,3,50,2
150,70,6,400,3
145,65,7,200,3
90,50,3,80,4
85,45,4,40,4
180,90,7,800,5
175,85,8,400,5
120,60,5,300,6
115,55,6,150,6
100,80,4,200,7
95,75,5,100,7
130,70,5,350,8
125,65,6,175,8
160,90,6,500,9
155,85,7,250,9
110,50,4,150,10
105,45,5,75,10
140,60,5,250,11
135,55,6,125,11
190,80,7,700,12
185,75,8,350,12
80,70,3,120,13
75,65,4,60,13
170,90,6,600,14
165,85,7,300,14
100,50,4,100,15
95,45,5,50,15
150,70,5,400,16
145,65,6,200,16
90,80,3,160,17
85,75,4,80,17
180,90,7,800,18
175,85,8,400,18
120,60,5,300,19
115,55,6,150,19
100,80,4,200,20
95,75,5,100,20
130,70,5,350,21
125,65,6,175,21
160,90,6,500,22
155,85,7,250,22
110,50,4,150,23
105,45,5,75,23
140,60,5,250,24
135,55,6,125,24
190,80,7,700,25
185,75,8,350,25
80,70,3,120,26
75,65,4,60,26
