name,price,article_id
oak,1000,1
pine,500,1
mahogany,400,2
cedar,200,2
walnut,800,3
birch,300,3
maple,600,4
cherry,150,4
teak,1200,5
ash,700,5
beech,900,6
spruce,400,6
elm,300,7
poplar,100,7
rosewood,1500,8
ebony,800,8
hickory,700,9
willow,350,9
acacia,200,10
cedar,50,10
oak,1000,11
pine,500,11
mahogany,400,12
cedar,200,12
walnut,800,13
birch,300,13
maple,600,14
cherry,150,14
teak,1200,15
ash,700,15
beech,900,16
spruce,400,16
elm,300,17
poplar,100,17
rosewood,1500,18
ebony,800,18
hickory,700,19
willow,350,19
acacia,200,20
cedar,50,20
oak,1000,21
pine,500,21
mahogany,400,22
cedar,200,22
walnut,800,23
birch,300,23
maple,600,24
cherry,150,24
teak,1200,25
ash,700,25
beech,900,26
spruce,400,26
elm,300,27
poplar,100,27
rosewood,1500,28
ebony,800,28
hickory,700,29
willow,350,29
acacia,200,30
cedar,50,30
